lambda,phase,epoch,train_acc,ce_loss,sparsity,gate_mean
5e-06,1,1,41.64,1.6473,0.00,0.9770
5e-06,1,2,48.40,1.4608,0.00,0.9693
5e-06,1,3,51.53,1.3748,0.00,0.9579
5e-06,1,4,53.81,1.3078,0.00,0.9414
5e-06,1,5,55.97,1.2524,0.00,0.9186
5e-06,1,6,57.55,1.1984,0.00,0.8896
5e-06,1,7,59.78,1.1419,0.00,0.8558
5e-06,1,8,60.86,1.1006,0.43,0.8199
5e-06,1,9,62.59,1.0518,4.82,0.7849
5e-06,1,10,64.38,1.0021,12.19,0.7526
5e-06,1,11,66.07,0.9531,18.44,0.7237
5e-06,1,12,67.72,0.9068,23.32,0.6986
5e-06,1,13,69.46,0.8582,27.12,0.6769
5e-06,1,14,71.32,0.8102,30.13,0.6584
5e-06,1,15,73.15,0.7608,32.52,0.6427
5e-06,1,16,74.75,0.7151,34.43,0.6295
5e-06,1,17,76.29,0.6730,35.98,0.6183
5e-06,1,18,77.96,0.6291,37.23,0.6090
5e-06,1,19,79.38,0.5885,38.25,0.6012
5e-06,1,20,80.83,0.5511,39.08,0.5947
5e-06,1,21,82.21,0.5157,39.74,0.5895
5e-06,1,22,83.36,0.4838,40.27,0.5852
5e-06,1,23,84.49,0.4559,40.68,0.5818
5e-06,1,24,85.50,0.4332,41.00,0.5792
5e-06,1,25,86.25,0.4115,41.23,0.5773
5e-06,1,26,87.01,0.3978,41.39,0.5759
5e-06,1,27,87.46,0.3860,41.50,0.5751
5e-06,1,28,88.00,0.3760,41.56,0.5746
5e-06,1,29,88.06,0.3712,41.58,0.5743
5e-06,1,30,88.21,0.3691,41.59,0.5743
5e-06,2,1,85.61,0.4147,,
5e-06,2,2,86.70,0.3884,,
5e-06,2,3,87.49,0.3712,,
5e-06,2,4,88.15,0.3563,,
5e-06,2,5,88.65,0.3446,,
5e-05,1,1,41.49,1.6468,0.00,0.9732
5e-05,1,2,48.45,1.4596,0.00,0.9574
5e-05,1,3,51.77,1.3701,0.00,0.9285
5e-05,1,4,54.20,1.2954,0.00,0.8782
5e-05,1,5,56.13,1.2381,0.00,0.8004
5e-05,1,6,58.39,1.1802,0.00,0.6994
5e-05,1,7,60.30,1.1213,0.00,0.5915
5e-05,1,8,62.18,1.0680,78.78,0.4933
5e-05,1,9,64.17,1.0143,90.52,0.4125
5e-05,1,10,66.08,0.9626,93.24,0.3493
5e-05,1,11,67.69,0.9169,94.43,0.3008
5e-05,1,12,69.16,0.8766,95.09,0.2634
5e-05,1,13,70.74,0.8352,95.51,0.2344
5e-05,1,14,72.00,0.7977,95.82,0.2117
5e-05,1,15,73.40,0.7625,96.04,0.1938
5e-05,1,16,74.53,0.7336,96.22,0.1796
5e-05,1,17,75.67,0.7038,96.35,0.1681
5e-05,1,18,76.63,0.6768,96.46,0.1590
5e-05,1,19,77.69,0.6503,96.54,0.1516
5e-05,1,20,78.73,0.6289,96.61,0.1457
5e-05,1,21,79.47,0.6063,96.66,0.1409
5e-05,1,22,80.14,0.5872,96.71,0.1372
5e-05,1,23,80.92,0.5720,96.74,0.1343
5e-05,1,24,81.28,0.5608,96.76,0.1321
5e-05,1,25,81.70,0.5476,96.78,0.1305
5e-05,1,26,82.25,0.5389,96.79,0.1293
5e-05,1,27,82.54,0.5319,96.80,0.1286
5e-05,1,28,82.82,0.5260,96.81,0.1282
5e-05,1,29,82.85,0.5228,96.81,0.1280
5e-05,1,30,83.07,0.5192,96.81,0.1280
5e-05,2,1,36.51,2.0051,,
5e-05,2,2,43.50,1.6089,,
5e-05,2,3,46.24,1.5201,,
5e-05,2,4,47.29,1.4868,,
5e-05,2,5,47.98,1.4694,,
0.0005,1,1,41.49,1.6529,0.00,0.9728
0.0005,1,2,48.60,1.4633,0.00,0.9559
0.0005,1,3,51.61,1.3722,0.00,0.9245
0.0005,1,4,54.16,1.3036,0.00,0.8691
0.0005,1,5,56.17,1.2407,0.00,0.7823
0.0005,1,6,58.41,1.1780,0.00,0.6694
0.0005,1,7,60.40,1.1211,0.00,0.5499
0.0005,1,8,62.10,1.0784,98.73,0.4429
0.0005,1,9,63.39,1.0416,99.37,0.3564
0.0005,1,10,64.69,1.0110,99.59,0.2897
0.0005,1,11,65.38,0.9889,99.69,0.2389
0.0005,1,12,66.23,0.9728,99.75,0.2002
0.0005,1,13,66.63,0.9575,99.79,0.1704
0.0005,1,14,67.21,0.9472,99.82,0.1472
0.0005,1,15,67.70,0.9362,99.84,0.1289
0.0005,1,16,67.99,0.9303,99.85,0.1143
0.0005,1,17,68.30,0.9229,99.87,0.1026
0.0005,1,18,68.50,0.9153,99.87,0.0931
0.0005,1,19,68.81,0.9094,99.88,0.0855
0.0005,1,20,68.99,0.9032,99.89,0.0794
0.0005,1,21,69.24,0.8976,99.89,0.0745
0.0005,1,22,69.67,0.8923,99.89,0.0705
0.0005,1,23,69.78,0.8871,99.89,0.0675
0.0005,1,24,70.11,0.8832,99.90,0.0651
0.0005,1,25,70.10,0.8800,99.90,0.0634
0.0005,1,26,70.24,0.8771,99.90,0.0621
0.0005,1,27,70.34,0.8744,99.90,0.0613
0.0005,1,28,70.56,0.8712,99.90,0.0609
0.0005,1,29,70.56,0.8698,99.90,0.0607
0.0005,1,30,70.58,0.8694,99.90,0.0606
0.0005,2,1,10.00,3.0832,,
0.0005,2,2,10.00,2.5608,,
0.0005,2,3,10.00,2.3552,,
0.0005,2,4,10.00,2.3104,,
0.0005,2,5,10.00,2.3051,,
